Index,score
739890,3
721645,3
661028,3
575442,1
286778,1
792605,3
636188,4
704630,1
771448,4
209909,4
563611,1
771487,3
537774,1
727667,1
631266,3
382586,1
605491,3
628267,1
460802,1
378742,1
681048,4
627524,3
687649,3
763381,3
