Index,score
681435,4
705253,3
782843,4
612797,3
681910,3
681877,3
547919,3
684233,1
552699,3
635796,4
605402,3
684640,1
537969,3
742016,3
788693,3
794423,4
680768,3
681644,3
753192,4
754396,3
753527,3
778667,3
309943,4
687504,4
