index,Pb,morph,DMSO,GBL,FAH,H2O,score
795293,5.869283375,4.393507482,-1.003773203,-1.003773203,-1.094202056,-1.349507811,3
701323,-1.003773203,1.095522476,-1.003773203,-0.621936727,-0.144824192,2.099111605,3
525860,-1.003773203,0.106126974,-1.003773203,-1.003773203,2.940653865,-1.349507811,3
728409,1.669082133,1.095522476,0.90540918,-1.003773203,0.804553672,-1.349507811,3
762868,0.523572703,1.755119477,-1.003773203,-1.003773203,1.041898138,-0.441976386,3
739890,0.141736227,1.425320977,-1.003773203,-1.003773203,0.092520274,-0.623482671,3
721645,1.287245656,1.095522476,-0.621936727,-0.621936727,0.092520274,0.284048754,3
661028,-0.621936727,0.765723975,-0.621936727,-0.621936727,0.092520274,0.647061325,3
792605,3.578264516,2.744514979,-1.003773203,-1.003773203,-0.382168658,-0.804988956,3
771487,2.432755086,1.755119477,-0.621936727,-0.621936727,0.32986474,-0.986495241,3
631266,0.523572703,0.435925475,0.523572703,-1.003773203,1.041898138,-0.804988956,3
605491,-0.621936727,0.435925475,-0.621936727,-0.621936727,1.279242603,-0.804988956,3
627524,0.523572703,0.435925475,-0.621936727,-0.621936727,0.092520274,0.46555504,3
687649,1.287245656,0.765723975,-0.621936727,-0.621936727,0.804553672,-0.804988956,3
763381,0.523572703,1.755119477,-0.621936727,-0.621936727,-0.619513124,0.647061325,3
705253,-0.621936727,1.095522476,-0.24010025,-0.621936727,-0.382168658,-0.260470101,3
612797,-0.24010025,0.435925475,-0.621936727,0.141736227,0.567209206,-0.804988956,3
681910,0.90540918,0.765723975,-0.621936727,0.141736227,0.804553672,-0.804988956,3
681877,0.90540918,0.765723975,-0.621936727,0.141736227,0.092520274,0.46555504,3
547919,-0.24010025,0.106126974,-0.621936727,-0.621936727,1.041898138,0.46555504,3
552699,-0.24010025,0.106126974,0.523572703,-0.621936727,0.804553672,-0.804988956,3
605402,-0.621936727,0.435925475,-0.621936727,-0.621936727,0.092520274,1.55459275,3
537969,-0.621936727,0.106126974,-0.621936727,-0.621936727,1.991276001,-0.804988956,3
742016,0.523572703,1.425320977,-1.003773203,-0.621936727,-0.619513124,1.19158018,3
788693,2.814591562,2.414716478,-0.621936727,-0.621936727,-0.619513124,-0.804988956,3
680768,0.90540918,0.765723975,-1.003773203,1.287245656,0.092520274,-0.623482671,3
681644,0.90540918,0.765723975,-0.621936727,-0.24010025,-0.144824192,-0.804988956,3
754396,2.050918609,1.425320977,0.141736227,-0.621936727,-0.382168658,-0.623482671,3
753527,2.050918609,1.425320977,-0.621936727,0.141736227,0.092520274,-0.804988956,3
778667,1.287245656,2.084917978,-0.621936727,-0.621936727,-0.619513124,-0.260470101,3
474358,-0.24010025,-0.223671526,-0.621936727,-0.24010025,0.804553672,-0.804988956,3
769693,2.050918609,1.755119477,-0.621936727,0.523572703,-0.85685759,-0.623482671,3
636187,0.90540918,0.435925475,-0.621936727,-0.621936727,1.991276001,-0.986495241,3
606160,-0.621936727,0.435925475,-0.621936727,0.90540918,-0.382168658,-0.804988956,3
777895,0.90540918,2.084917978,-0.621936727,-0.621936727,-0.85685759,-0.441976386,3
559725,0.141736227,0.106126974,-0.621936727,0.90540918,0.092520274,0.46555504,3
481792,-0.24010025,-0.223671526,0.90540918,-0.621936727,0.804553672,-0.623482671,3
537889,-0.621936727,0.106126974,-0.621936727,-0.621936727,0.804553672,1.19158018,3
381407,-0.621936727,-0.553470027,0.141736227,0.523572703,0.804553672,-0.804988956,3
475063,-0.24010025,-0.223671526,-0.621936727,0.523572703,0.567209206,0.46555504,3
640203,0.90540918,0.435925475,0.523572703,-0.621936727,0.32986474,-0.804988956,3
376379,-0.621936727,-0.553470027,-0.621936727,1.669082133,0.567209206,-0.804988956,3
738279,-0.24010025,1.425320977,-1.003773203,-0.621936727,-0.619513124,1.010073895,3
385565,-0.621936727,-0.553470027,1.287245656,-0.621936727,0.804553672,-0.804988956,3
626653,0.523572703,0.435925475,-1.003773203,1.287245656,-0.382168658,-0.804988956,3
374146,-0.621936727,-0.553470027,-0.621936727,-0.621936727,0.567209206,-0.623482671,3
705345,-0.621936727,1.095522476,-0.24010025,-0.24010025,-0.619513124,-0.623482671,3
792851,3.578264516,2.744514979,-0.621936727,-0.621936727,-0.619513124,-0.804988956,3
738889,-0.24010025,1.425320977,-0.621936727,-0.621936727,-0.619513124,0.102542469,3
396131,-0.24010025,-0.553470027,-0.621936727,2.050918609,0.32986474,-0.623482671,3
459778,-0.621936727,-0.223671526,-0.621936727,-0.621936727,1.279242603,0.647061325,3
707451,-0.24010025,1.095522476,-0.621936727,-0.621936727,-0.382168658,1.736099035,3
299114,-0.621936727,-0.883268527,0.523572703,0.90540918,0.567209206,-0.804988956,3
571177,0.523572703,0.106126974,-0.621936727,0.90540918,-0.382168658,-0.623482671,3
475041,-0.24010025,-0.223671526,-0.621936727,0.523572703,0.32986474,0.46555504,3
306918,-0.24010025,-0.883268527,-1.003773203,-1.003773203,3.415342797,2.099111605,4
774344,2.814591562,1.755119477,0.141736227,-1.003773203,-1.094202056,2.099111605,4
755293,2.432755086,1.425320977,-1.003773203,-1.003773203,2.465964933,-1.349507811,4
131312,-1.003773203,-1.542865529,2.432755086,-1.003773203,2.465964933,-1.349507811,4
99371,-1.003773203,-1.542865529,-1.003773203,2.432755086,2.465964933,-1.349507811,4
127807,-1.003773203,-1.542865529,1.669082133,-1.003773203,1.279242603,2.099111605,4
98577,-1.003773203,-1.542865529,-1.003773203,1.669082133,1.279242603,2.099111605,4
581148,0.90540918,0.106126974,-1.003773203,2.050918609,-1.094202056,1.736099035,4
100093,-1.003773203,-1.542865529,-1.003773203,4.341937469,-1.094202056,1.736099035,4
511373,0.523572703,-0.223671526,0.141736227,0.523572703,1.041898138,-0.078963816,4
692069,1.669082133,0.765723975,-1.003773203,-1.003773203,1.516587069,1.91760532,4
