Index,score
690629,1
628083,1
662601,1
794228,4
683568,1
569039,1
753906,1
474358,3
638458,1
547443,1
769693,3
637884,4
740699,1
781864,1
636187,3
605343,1
606160,3
372507,1
777895,3
688201,1
559725,3
681317,1
282130,1
481792,3
