Index,score
795293,3
134470,1
100214,1
306918,4
793463,1
129323,1
774344,4
730284,1
755293,4
131312,4
99371,4
651484,1
92208,1
701323,3
525860,3
363078,1
788381,1
127807,4
98577,4
581148,4
134242,1
133585,1
100093,4
511373,4
534077,1
692069,4
632961,1
107103,1
703187,1
735566,1
333233,1
127182,4
97655,1
784905,1
115650,4
589292,4
794970,4
728409,3
256010,4
756041,4
745991,1
503828,4
127428,1
99947,1
783615,4
503968,1
515306,1
762868,3
