Index,score
753906,1
753527,3
525860,3
769693,1
763381,1
134242,1
753906,1
686571,1
782843,4
794423,4
559725,3
794228,3
474358,3
558956,4
286778,1
134470,1
794423,4
728409,3
721604,4
134242,1
209909,4
133585,1
680768,3
739890,3
