Index,score
393854,4
686571,1
537889,3
381407,3
475063,3
640203,3
792841,1
771905,1
376379,3
721604,1
558956,4
738279,3
769464,1
753546,1
385565,3
644908,4
626653,3
777879,1
315618,4
374146,3
637882,4
633581,1
705345,3
480539,4
