Procedure Summary

Plate Type	Costar 96 white opaque
Read	Read:  (F) Emission Spectrum [380nm to 670nm by 1]

Field Group

			
			
			

EM Spectrum

Wavelength	A1	A5	A8	A12	C2	C5	C7	C8	C9	C10	E3	E5	E6	E7	E8	E9	E11	G1	G4	G6	G8	G9	G11	G12
647	73	80	50	40	22	47	170	44	78	23	17	87	229	119	43	42	15	20	485	420	40	21	30	105
648	71	76	45	33	24	46	173	43	82	35	10	89	243	130	42	38	16	23	463	427	36	31	23	105
649	78	79	51	38	20	41	158	43	72	36	8	87	226	113	42	41	10	24	495	428	44	29	29	96
650	65	69	49	38	26	49	174	42	68	41	17	78	249	113	38	32	8	17	449	435	41	25	29	95
651	67	74	40	34	25	50	159	43	73	31	11	85	241	100	41	28	15	18	495	444	44	35	28	89
652	79	87	41	39	21	47	168	41	70	27	11	80	230	111	41	32	9	24	476	425	33	26	30	80
653	68	96	33	40	24	49	162	28	69	29	9	85	227	103	40	38	11	18	489	456	41	28	36	75
654	83	67	54	34	22	46	151	34	80	22	14	88	225	96	45	33	14	20	471	424	40	31	27	80
655	65	68	52	34	22	41	164	31	66	38	3	94	225	104	39	30	16	24	488	436	49	23	39	74
656	72	81	58	38	25	39	179	30	61	28	9	78	230	99	50	31	7	17	492	423	34	23	28	72
657	59	83	47	36	24	45	158	31	66	38	8	90	231	90	43	30	18	23	480	422	44	28	47	78
658	71	87	48	36	20	39	157	32	82	34	5	75	215	87	39	30	5	22	465	444	45	16	22	74
659	64	70	47	35	23	31	141	27	78	36	12	95	220	84	40	36	11	24	482	429	55	34	28	65
660	71	90	46	42	23	33	158	34	80	29	9	84	229	88	44	33	3	19	494	446	46	26	30	61
661	67	81	39	38	22	41	158	31	60	29	4	92	231	77	37	29	5	16	488	424	32	24	21	69
662	67	76	43	43	26	39	177	35	65	26	11	98	234	74	44	36	11	11	478	447	39	19	36	59
663	70	69	53	39	27	46	156	35	70	24	0	75	238	67	38	26	10	20	457	439	27	25	34	58
664	60	95	40	38	17	41	158	19	61	31	6	86	209	78	41	34	13	22	488	432	45	29	54	52
665	64	70	49	36	18	45	140	31	53	24	9	90	233	69	34	28	10	17	482	448	39	24	28	55
666	57	75	49	36	23	34	155	25	58	26	6	99	230	90	40	26	7	26	525	418	40	25	33	50
667	64	72	47	32	23	30	167	25	51	38	8	78	229	74	37	27	7	22	463	437	44	14	27	57
668	62	85	40	39	19	28	156	22	64	25	4	82	248	64	35	36	9	15	491	458	43	30	29	48
669	64	57	44	28	19	35	157	31	50	30	0	100	252	63	30	25	10	22	458	431	40	15	32	58
670	54	97	41	45	18	26	146	31	57	27	9	88	199	48	41	26	10	22	497	420	32	20	26	51

