Procedure Summary

Plate Type	Costar 96 white opaque
Read	Read:  (F) Emission Spectrum [380nm to 670nm by 1]

Field Group

			
			
			

EM Spectrum

Wavelength	A1	A5	A8	A12	C2	C5	C7	C8	C9	C10	E3	E5	E6	E7	E8	E9	E11	G1	G4	G6	G8	G9	G11	G12
440	34	179	30	11	14	99	206	18	100	35	155	22	122	80	27	33	123	45	46	33	46	622	33	25
441	31	171	28	11	12	99	200	19	107	28	153	17	127	82	25	35	120	44	42	35	50	623	40	24
442	32	163	27	10	14	96	188	14	103	34	146	18	120	80	24	29	114	48	44	39	55	599	38	24
443	30	169	29	11	15	93	190	14	108	35	145	17	119	73	23	30	117	48	44	41	55	615	40	22
444	33	156	28	13	13	97	190	15	108	32	159	19	108	72	25	29	120	44	41	40	56	603	44	20
445	29	163	24	11	13	86	176	15	102	28	143	16	119	70	25	27	125	43	46	40	52	574	33	20
446	34	157	27	10	13	86	183	14	93	31	138	17	115	74	30	30	120	45	44	43	55	572	40	20
447	28	151	26	12	14	87	166	16	103	28	139	19	116	71	26	28	125	39	44	48	51	594	39	21
448	34	142	23	11	14	90	155	16	101	34	134	19	118	66	27	28	113	45	43	43	60	534	43	17
449	29	152	28	13	19	94	156	17	85	32	135	20	117	67	22	25	110	41	48	44	58	510	37	20
450	28	144	29	11	13	86	144	18	89	35	143	16	112	69	25	26	104	37	50	43	61	516	35	19
451	28	153	28	11	14	78	147	16	81	30	128	17	101	63	25	30	117	42	47	50	61	493	35	20
452	30	153	30	10	12	84	142	14	89	31	137	18	104	60	28	30	116	38	50	50	63	476	33	18
453	31	147	25	10	14	86	136	14	87	29	126	17	102	61	24	23	106	38	48	56	65	483	31	16
454	28	147	27	10	13	85	129	15	86	32	128	17	103	57	28	27	107	41	51	54	65	444	37	18
455	29	147	27	9	14	91	147	15	86	36	139	16	101	58	28	23	102	37	50	56	61	450	32	17
456	28	134	27	10	14	78	136	14	81	35	124	16	105	57	23	22	114	40	51	61	69	435	33	17
457	30	131	32	11	11	79	135	12	78	33	105	18	105	52	25	26	116	36	56	56	70	441	34	13
458	31	140	38	9	12	79	125	14	78	32	114	16	102	52	30	24	103	35	55	65	67	398	35	16
459	30	132	37	11	12	79	130	15	83	33	122	20	99	54	27	26	93	33	57	64	73	409	37	16
460	26	125	40	10	15	76	126	13	83	36	110	16	104	51	32	28	109	33	57	73	70	393	38	15
461	30	150	38	9	12	76	126	10	74	34	111	18	103	53	28	26	104	37	58	70	65	388	34	13
462	32	138	44	8	14	73	130	13	69	35	114	16	84	51	29	24	103	34	55	71	70	381	28	14
463	31	122	31	12	12	78	126	11	79	32	103	17	89	48	24	23	96	35	56	75	60	390	30	11
464	24	129	39	9	11	71	108	12	72	33	88	17	96	48	29	23	100	37	55	73	62	360	32	13
465	30	134	39	9	12	72	122	11	77	30	96	18	85	42	26	21	93	31	61	80	67	343	31	15
466	25	135	39	10	12	68	120	10	70	34	96	18	81	48	28	23	89	30	62	81	68	342	39	12
467	26	129	43	10	12	69	110	9	75	33	96	16	88	42	26	23	94	29	58	85	72	333	26	13
468	28	129	46	9	15	64	105	10	69	31	105	17	89	40	27	23	87	28	64	83	64	328	29	9
469	23	116	51	9	14	66	108	11	68	32	92	17	83	45	21	19	93	27	71	87	69	332	32	12
470	31	124	49	9	13	65	108	10	71	34	89	12	87	44	29	21	81	24	67	84	68	312	29	9
471	25	115	50	11	11	65	100	11	74	32	90	14	87	43	27	20	83	28	67	84	61	332	25	13
472	28	115	42	6	10	62	90	8	68	30	90	17	78	43	29	24	89	31	68	96	65	307	27	13
473	26	102	46	10	9	68	92	13	66	29	83	16	79	38	26	25	76	30	70	95	61	292	32	11
474	24	108	53	9	10	62	88	11	66	34	85	15	85	34	29	21	83	26	68	102	69	287	29	11
475	27	100	55	8	10	59	92	9	67	28	85	16	84	38	27	21	78	30	80	96	61	265	29	12
476	28	108	51	10	10	59	84	10	66	29	79	13	84	33	27	17	85	24	77	105	68	282	27	11
477	27	95	49	9	9	60	89	8	60	31	88	15	75	37	24	19	83	27	72	106	68	272	25	10
478	28	101	57	8	9	56	83	10	60	27	84	12	75	33	29	21	82	25	77	108	63	263	31	9
479	25	97	54	10	8	61	88	9	62	29	86	16	80	34	26	24	76	25	73	109	61	252	27	9
480	25	92	58	9	10	62	81	9	65	32	78	12	75	32	27	17	74	27	76	109	61	236	22	9
481	26	87	50	7	10	61	69	9	62	32	73	13	74	32	27	19	77	29	75	115	65	243	26	7
482	25	83	56	9	13	56	66	9	66	29	64	12	80	35	27	17	76	26	83	121	62	254	27	8
483	25	86	62	8	12	60	72	11	65	26	75	13	79	34	28	18	74	25	83	113	62	249	24	6
484	25	90	60	8	8	54	77	9	57	34	71	14	74	30	26	17	81	24	78	127	59	223	26	7
485	25	81	60	9	9	58	71	9	61	27	77	13	69	32	26	19	68	28	86	125	69	234	26	5
486	23	82	66	9	11	55	61	8	63	29	67	11	71	26	23	18	76	26	83	123	62	229	22	7
487	25	84	53	10	9	56	59	9	57	30	63	16	68	26	25	19	71	23	89	122	60	206	22	8
488	24	72	65	9	9	60	62	10	58	27	66	15	70	27	27	23	72	22	85	134	61	214	20	7
489	25	77	59	10	10	53	61	9	55	26	73	12	72	27	20	17	64	25	94	128	55	200	22	6
490	23	76	60	7	10	53	60	8	59	27	59	14	70	27	25	20	66	24	87	141	63	195	26	8
491	26	70	56	7	9	50	59	8	62	27	61	13	73	27	27	21	79	26	92	136	59	206	23	6
492	24	76	57	9	9	51	53	6	51	27	57	12	66	29	24	20	68	23	93	143	60	196	23	6
493	22	67	52	7	8	50	58	8	50	25	60	14	66	24	23	17	65	21	97	146	58	194	21	6
494	21	73	59	7	10	49	52	7	54	26	55	13	68	25	26	18	58	20	95	140	59	185	23	6
495	22	59	56	7	7	53	54	7	48	29	64	11	64	22	23	18	59	24	97	152	56	176	29	5
496	27	67	68	7	8	61	51	7	51	29	56	11	74	22	24	16	53	20	102	150	50	167	28	5
497	22	63	58	8	9	49	51	8	49	26	52	14	69	25	24	20	59	22	102	157	54	179	20	6
498	22	77	56	7	8	50	49	7	47	26	50	15	65	23	22	14	64	18	105	154	49	164	21	5
499	20	69	62	7	9	51	48	9	56	27	52	12	63	22	23	18	61	20	100	158	60	167	18	7
500	24	59	53	9	9	44	51	8	51	31	55	10	62	21	26	17	63	20	106	167	57	164	21	6
501	23	63	53	8	9	46	38	7	50	24	54	11	66	22	21	19	64	21	103	162	47	164	25	6
502	21	54	42	6	9	48	46	6	51	24	48	12	61	20	24	20	61	26	113	163	48	165	20	4
503	25	61	61	7	7	52	39	6	58	23	61	12	65	20	22	20	45	21	106	167	53	163	21	4
504	18	65	62	8	7	54	45	7	54	25	52	12	70	24	22	17	54	18	116	174	56	146	20	5
505	22	60	54	10	7	45	37	6	46	24	50	13	60	20	25	19	52	18	107	175	48	146	21	4
