Procedure Summary

Plate Type	Costar 96 white opaque
Read	Read:  (F) Emission Spectrum [380nm to 670nm by 1]

Field Group

			
			
			

EM Spectrum

Wavelength	A1	A3	A5	A7	A9	C1	C3	C7	C9	C11	E1	E3	E5	E7	E9	E11	G1	G7	G9	G11
452	16	7	4	3	2	9	6	3	2	3	13	33	6	2	11	8	6	6	5	22
453	19	7	5	4	3	11	8	4	2	2	11	35	5	3	9	9	5	6	6	25
454	20	6	4	3	3	11	5	4	2	2	10	34	5	2	12	8	4	6	6	22
455	17	9	5	2	3	10	6	4	2	2	12	32	5	2	11	10	2	8	7	20
456	19	4	3	2	1	12	5	3	2	5	15	28	5	2	11	6	6	6	6	24
457	13	5	3	3	3	10	3	5	3	3	15	30	4	2	13	10	4	7	5	17
458	21	8	3	1	3	8	4	3	2	4	17	32	4	2	11	6	4	7	5	21
459	20	6	3	4	2	7	5	3	1	1	16	30	5	2	9	8	4	8	5	18
460	18	7	3	1	4	9	5	4	4	3	15	26	4	2	16	7	4	7	5	20
461	16	6	3	3	1	6	3	4	3	2	14	27	5	2	15	6	2	7	4	21
462	20	7	2	3	3	11	4	4	2	3	19	30	5	2	16	7	5	6	3	19
463	16	6	3	2	3	9	4	5	2	4	16	26	6	2	15	7	4	8	5	18
464	20	5	4	4	2	9	5	5	2	2	15	28	6	2	13	5	4	8	7	22
465	18	3	5	3	1	8	4	5	3	2	15	25	4	2	13	7	5	9	4	24
466	17	6	3	3	2	9	5	3	2	3	14	22	4	3	12	6	5	8	5	26
467	19	4	2	2	3	9	3	3	3	2	14	23	6	2	13	5	3	8	5	27
468	20	5	4	1	2	11	5	4	2	3	17	23	3	2	15	6	5	7	4	25
469	19	7	4	2	3	9	3	5	3	2	16	27	4	2	13	7	3	7	3	30
470	17	6	3	3	1	10	7	4	2	2	16	21	4	1	15	5	3	7	5	30
471	17	4	4	2	3	7	4	2	2	2	17	22	4	1	13	5	5	7	5	27
472	22	7	4	2	2	5	4	4	2	2	16	23	4	2	16	7	4	8	3	33
473	19	5	2	1	2	9	4	4	2	2	17	20	4	2	12	6	4	8	3	29
474	19	4	3	2	3	8	4	4	2	2	16	23	4	1	14	7	4	8	4	35
475	19	5	3	2	1	8	5	3	2	2	20	23	3	2	14	7	3	9	5	30
476	20	4	2	3	2	8	6	3	2	2	15	18	5	2	15	5	3	9	3	36
477	18	3	3	2	3	6	5	4	2	1	16	19	4	1	15	6	3	6	5	38
478	18	5	2	1	2	9	6	4	2	2	18	18	4	3	17	7	2	9	4	34
479	19	4	3	1	2	8	5	4	3	2	19	21	4	1	15	6	4	9	3	34
480	21	4	3	2	3	7	4	4	2	3	18	16	4	2	14	7	3	9	4	29
481	16	5	2	2	1	7	3	3	3	2	18	17	5	2	17	5	3	8	4	39
482	19	3	3	3	2	7	4	4	2	3	16	17	3	2	18	6	3	10	4	31
483	20	4	3	1	3	7	2	3	1	2	17	16	4	2	18	7	2	8	5	37
484	23	5	2	2	3	9	4	4	2	2	19	17	4	2	18	5	4	9	4	34
485	19	3	3	1	2	8	3	3	2	4	19	17	4	2	17	4	4	9	4	36
486	17	4	3	2	2	7	4	3	2	2	17	17	4	3	14	5	2	9	3	41
487	21	4	2	2	2	7	4	3	1	3	19	15	4	1	18	7	2	9	6	35
488	20	4	3	3	2	8	4	4	2	2	17	14	4	2	16	5	3	9	4	38
489	17	3	1	3	1	7	5	4	2	1	16	12	4	2	16	6	3	9	4	30
490	20	3	4	2	3	7	3	4	1	3	15	13	4	2	17	5	2	8	4	33
491	20	4	2	1	2	7	4	3	1	2	18	15	3	2	18	5	3	8	4	34
492	21	3	2	2	2	6	2	4	1	2	17	14	4	2	18	4	3	9	3	37
493	19	3	2	1	2	8	3	4	1	1	17	15	4	2	17	7	3	9	3	33
494	17	3	2	2	2	7	4	2	1	1	17	14	3	1	14	6	3	10	4	32
495	19	3	2	1	2	6	3	3	1	3	19	14	4	1	19	5	4	9	4	34
496	22	2	2	3	2	5	5	3	1	2	17	12	4	1	14	3	3	7	3	34
497	21	4	3	1	1	7	3	3	2	1	18	13	4	1	18	6	3	9	3	34
498	18	3	3	1	2	6	3	4	2	2	18	14	4	1	15	3	3	10	3	40
499	19	4	4	1	2	7	4	2	1	1	16	12	4	1	15	4	2	7	2	37
500	17	3	5	2	2	7	3	2	2	2	19	14	3	1	18	3	2	10	3	29
501	15	3	2	2	1	7	3	3	1	1	16	12	3	1	16	5	3	8	4	34
502	21	2	1	3	2	7	5	3	1	1	17	9	3	1	18	6	2	8	4	28
503	18	3	2	1	2	6	3	2	1	1	19	9	3	1	19	5	3	9	3	36
504	21	4	1	2	1	5	3	2	1	2	20	15	4	1	18	6	3	10	3	33
505	17	3	3	1	2	4	3	3	1	1	17	13	3	2	16	5	2	9	3	31
506	19	3	3	1	2	6	3	3	1	1	20	9	3	1	19	5	2	10	3	33
507	19	3	3	2	1	5	3	4	2	1	20	12	3	1	18	5	4	12	4	31
508	19	3	3	2	2	5	4	2	2	1	18	9	3	1	17	6	2	10	3	34
509	21	3	3	2	1	5	3	3	1	3	19	10	5	2	19	5	5	9	3	26
510	23	3	2	2	2	6	4	3	2	2	23	8	4	2	16	4	4	12	3	33
511	21	2	2	3	1	6	3	3	1	3	18	10	3	1	18	4	3	12	3	34
512	21	3	3	3	1	4	2	2	1	2	23	10	3	2	20	6	3	12	4	35
513	21	3	2	2	2	5	3	2	2	2	19	10	4	1	16	5	3	11	2	30
514	22	3	3	3	1	6	4	3	2	3	24	10	2	1	18	6	4	12	2	33
515	20	3	2	2	1	3	3	3	1	2	25	11	3	1	20	3	3	11	2	32
516	20	3	4	2	1	8	3	3	1	2	21	13	3	1	20	6	4	13	3	28
517	22	1	3	3	3	7	3	4	1	4	22	11	3	1	20	7	5	10	2	30
518	20	5	2	4	2	5	2	3	2	1	20	11	3	2	18	5	4	13	3	32
519	22	4	3	5	2	6	6	3	1	4	22	11	4	2	19	6	4	10	3	30
520	19	3	3	3	2	5	3	4	1	4	21	11	2	3	22	6	6	13	4	32
521	22	4	4	5	2	6	6	3	2	5	23	14	4	3	22	6	6	13	4	23
522	24	4	4	5	1	5	3	4	1	4	22	13	4	2	20	5	8	12	3	27
523	20	6	4	6	2	6	6	4	2	6	23	13	4	4	22	4	9	14	5	30
524	23	6	6	6	3	6	4	4	3	5	21	15	6	3	22	8	10	12	5	25
525	28	5	5	8	5	7	5	3	4	8	22	17	4	2	21	6	9	13	6	29
526	23	7	6	7	3	8	9	4	6	7	20	16	6	4	20	7	12	15	5	30
527	24	8	7	9	5	9	6	4	4	8	24	20	6	5	22	6	16	14	4	29
528	23	6	6	12	5	9	6	5	4	10	27	20	7	3	23	7	14	14	5	25
529	26	9	9	10	6	10	7	3	5	11	22	22	6	6	20	7	15	14	7	26
530	27	9	9	14	4	8	8	5	6	11	25	25	9	6	20	4	18	16	7	24
531	24	11	13	21	8	12	8	6	5	14	23	30	6	8	21	8	23	14	7	23
532	24	11	10	20	12	12	9	6	9	16	25	31	9	7	22	7	30	12	10	28
533	24	16	14	20	9	15	11	3	12	18	23	29	8	9	18	9	35	13	9	24
534	24	18	15	29	11	16	12	6	10	21	22	44	10	13	20	9	43	15	11	24
535	26	20	20	33	13	16	14	6	11	24	24	49	12	16	28	7	51	17	14	27
536	27	21	20	38	19	19	16	5	14	27	26	52	12	15	21	6	56	16	16	25
537	23	23	25	44	19	19	15	5	15	35	26	55	13	17	24	10	62	14	12	29
538	27	26	31	50	19	20	20	7	15	32	27	66	15	18	23	7	70	17	14	29
539	26	31	34	58	23	24	17	8	19	42	26	77	19	24	25	10	79	15	19	27
540	30	31	39	65	23	24	23	7	18	50	25	84	24	21	30	7	88	17	20	31
541	24	46	39	74	27	32	23	9	25	54	27	103	21	33	26	8	106	16	23	28
542	28	46	42	88	33	30	29	7	22	61	26	103	25	30	25	10	117	18	28	26
543	26	50	50	95	40	33	37	10	27	69	26	119	24	34	23	8	131	19	25	28
544	27	56	57	101	39	31	38	10	33	85	29	151	33	36	23	8	154	18	28	26
545	29	63	70	115	44	37	41	11	34	81	30	153	39	40	25	11	171	15	34	32
546	29	69	75	132	45	45	44	14	32	92	27	188	37	48	24	12	195	18	33	26
547	30	76	81	151	53	46	49	15	39	111	31	198	36	47	26	10	215	20	36	30
548	27	84	89	156	65	48	49	13	47	106	25	217	40	53	30	11	228	21	38	22
549	31	78	94	167	64	54	55	12	45	117	28	239	50	52	26	15	243	20	43	29
550	28	92	109	170	65	57	52	14	49	134	29	266	50	53	30	11	275	21	41	28
551	31	102	114	194	74	63	52	17	50	130	30	269	53	57	27	12	285	22	46	25
552	26	99	108	204	76	65	58	15	55	150	29	313	55	63	32	10	319	20	48	27
553	31	117	117	211	77	61	64	16	56	152	34	319	59	61	28	12	310	21	49	27
554	26	109	119	220	81	61	64	16	57	143	28	310	65	64	29	13	319	21	57	24
555	30	124	124	237	81	65	61	20	60	152	33	349	65	65	30	12	320	24	58	28
556	28	123	126	231	84	71	67	18	53	162	33	340	64	67	33	12	338	24	60	29
557	30	119	137	220	90	68	71	21	56	159	30	347	64	68	30	12	346	22	54	21
558	29	121	127	221	84	71	67	20	62	163	31	346	70	65	27	10	350	22	56	24
559	29	123	130	234	82	65	65	19	59	153	35	358	70	67	26	14	336	28	64	21
560	30	124	138	235	82	71	66	22	54	153	36	352	75	67	29	12	327	26	57	26
561	26	125	121	234	82	75	63	21	58	158	32	348	68	62	27	12	324	24	70	27
562	31	118	128	238	86	72	72	25	52	148	33	350	71	56	31	12	320	26	66	29
563	31	124	126	232	76	75	67	24	56	141	37	362	71	56	31	12	315	28	70	24
564	31	126	136	247	78	72	57	29	56	146	40	336	65	56	27	13	301	31	76	31
565	34	128	136	226	80	75	70	29	61	136	34	329	67	59	28	15	305	30	76	37
566	29	123	142	240	85	89	72	29	58	136	38	333	71	61	25	11	280	32	75	23
567	35	127	139	253	77	81	74	27	57	132	32	356	73	58	29	12	296	27	80	30
568	32	135	147	277	84	84	73	37	58	134	38	349	59	54	29	14	274	37	89	27
569	33	118	150	279	87	100	74	32	64	137	38	347	69	59	34	11	278	37	97	31
570	27	136	155	295	80	94	73	41	63	125	33	351	73	61	30	11	286	35	90	24
571	31	134	161	310	86	104	75	39	71	142	34	390	74	55	34	14	282	36	97	35
572	31	141	174	330	83	100	84	39	65	139	41	391	82	60	35	9	272	33	96	25
573	31	161	179	357	85	106	76	41	70	145	34	417	80	56	36	16	273	35	105	26
574	32	164	196	378	94	115	83	50	65	142	37	442	82	61	27	14	284	37	109	24
575	32	177	188	441	85	118	88	46	70	153	41	481	88	64	39	14	297	40	125	31
576	28	188	210	445	96	119	94	53	84	154	38	530	84	61	34	15	312	42	127	22
577	38	206	238	500	107	129	99	59	85	170	40	563	95	67	35	17	348	36	140	25
578	32	209	252	510	108	131	102	53	87	178	39	622	103	65	34	13	369	45	141	28
579	40	224	261	562	114	141	103	60	95	189	44	695	103	70	35	19	390	48	166	27
580	32	238	283	579	119	150	110	61	94	212	37	749	110	68	30	18	424	46	165	23
581	35	254	322	611	125	162	117	65	107	233	41	809	118	78	36	19	454	48	165	22
582	34	276	329	662	126	168	122	64	124	235	38	842	129	86	40	19	504	53	177	33
583	38	304	336	701	145	175	128	68	118	255	46	961	140	82	34	19	535	51	198	25
584	29	305	362	758	142	185	137	65	127	284	41	990	131	96	31	21	574	52	205	26
585	36	343	401	798	157	201	130	67	135	306	41	1078	145	90	35	17	640	56	201	25
586	40	343	416	839	161	202	144	77	156	325	42	1127	157	103	32	19	647	58	214	28
587	37	368	441	862	172	201	157	76	163	354	42	1209	171	102	34	23	715	65	222	21
588	29	377	449	899	186	201	157	85	168	392	44	1336	164	114	35	21	794	57	225	29
589	34	421	467	910	187	199	160	82	175	404	42	1353	181	114	42	23	820	59	228	24
590	32	412	491	923	201	206	159	84	190	413	43	1431	191	114	34	23	856	58	229	27
591	36	409	499	983	206	218	163	82	203	441	42	1434	203	119	38	18	912	59	244	30
592	38	449	519	987	226	217	176	84	194	482	43	1507	207	131	39	21	951	62	235	21
593	36	463	543	1052	222	234	169	89	200	485	44	1598	207	143	37	23	1004	68	243	26
