Procedure Summary

Plate Type	Costar 96 white opaque
Read	Read:  (F) Emission Spectrum [380nm to 670nm by 1]

Field Group

			
			
			

EM Spectrum

Wavelength	G1	G3	E5	G5	E7	A9	E9	A11	G11
534	16	13	10	18	10	14	13	12	10
535	12	13	13	20	11	13	14	13	12
536	14	15	14	20	8	18	13	11	16
537	15	21	16	18	9	21	18	9	18
538	13	23	15	19	12	21	19	15	17
539	15	25	18	21	11	24	17	15	22
540	14	28	20	20	15	26	25	17	19
541	14	29	21	20	13	30	25	18	23
542	17	31	26	21	10	37	27	21	27
543	18	33	24	21	15	35	31	19	28
544	20	38	25	21	10	42	33	17	31
545	21	36	27	21	12	42	36	21	34
546	20	42	30	23	17	45	42	24	41
547	18	41	34	21	16	50	49	22	41
548	21	43	34	24	15	48	45	26	40
549	23	45	37	21	13	50	50	33	39
550	24	55	36	21	16	57	51	31	52
551	24	53	41	21	14	53	53	29	46
552	27	51	43	22	16	61	49	27	45
553	29	50	42	24	13	65	59	34	47
554	26	55	45	25	12	63	57	30	49
555	30	53	40	22	15	65	59	33	54
556	33	61	53	24	21	74	56	35	51
557	31	58	47	25	16	63	58	33	58
558	32	61	49	24	16	70	56	36	55
559	40	66	48	28	14	68	61	43	59
560	36	61	49	20	17	62	57	34	55
561	39	61	54	25	18	76	63	39	60
562	40	66	58	24	16	77	64	46	58
563	41	63	53	23	17	69	63	46	62
564	41	63	60	21	17	72	67	48	60
565	49	66	54	29	20	73	68	46	64
566	51	65	60	21	16	76	72	50	65
567	53	73	58	26	18	82	70	47	76
568	53	69	64	24	20	92	73	51	70
569	56	68	66	29	18	84	81	56	67
570	59	74	72	24	19	93	80	66	79
571	62	77	78	27	18	93	78	58	80
572	63	83	78	27	20	108	81	63	89
573	67	88	79	22	17	107	88	66	91
574	70	90	87	28	17	113	102	67	101
575	65	91	91	24	19	124	104	70	103
576	70	96	93	29	20	123	104	69	99
577	80	110	101	24	20	135	119	79	109
578	77	111	97	26	23	142	115	76	118
579	77	123	101	26	24	163	125	79	129
580	79	123	113	23	24	166	133	75	129
581	81	128	113	22	26	170	151	77	147
582	90	126	133	32	18	177	154	85	146
583	82	137	128	32	24	191	161	85	159
584	85	154	140	31	23	206	176	95	171
585	88	141	140	29	23	216	170	99	176
586	91	156	152	30	22	233	192	102	181
587	92	167	147	31	33	246	186	105	193
588	94	163	155	29	27	259	197	101	195
589	92	169	152	29	28	260	202	106	205
590	89	189	157	30	27	271	209	98	208
591	93	182	165	29	22	289	219	100	223
592	89	198	167	28	25	284	226	108	227
593	93	192	171	26	27	281	239	103	249
594	93	205	181	29	25	294	230	108	228
595	102	202	165	28	23	308	245	106	229
596	108	195	157	28	28	304	245	109	247
597	95	195	183	28	23	313	254	113	249
598	105	205	163	30	26	317	253	105	252
599	110	214	177	28	21	323	247	113	255
600	110	203	167	30	28	308	245	108	263
601	103	197	171	25	27	319	255	114	259
602	108	208	168	30	32	331	259	111	257
603	108	207	160	30	31	311	250	107	244
604	110	193	159	31	30	308	245	100	251
605	115	190	161	31	26	320	244	101	254
606	114	189	157	31	22	314	255	107	254
607	111	193	174	31	27	302	256	119	231
