Procedure Summary

Plate Type	Costar 96 white opaque
Read	Read:  (F) Emission Spectrum [380nm to 670nm by 1]

Field Group

			
			
			

EM Spectrum

Wavelength	A1	A3	A5	C1	C3	C5	C11	E7	G1	G3	G9	G11
498	12	1	5	11	1	12	6	6	15	3	8	2
499	13	1	4	9	2	15	5	6	15	2	6	2
500	11	1	6	10	2	15	5	6	14	2	7	3
501	11	2	5	9	3	13	7	4	16	2	6	3
502	11	1	5	10	2	18	6	6	15	2	6	2
503	10	1	5	9	2	17	5	5	17	1	6	2
504	11	0	5	13	2	20	8	7	17	1	7	2
505	12	2	7	10	1	13	6	7	14	2	7	4
506	10	2	5	9	1	19	5	6	20	1	6	3
507	10	2	5	10	2	18	6	6	17	2	7	3
508	12	1	6	9	2	18	7	6	20	2	6	2
509	10	1	6	11	1	17	7	8	17	2	6	3
510	12	1	7	9	1	20	6	6	20	2	7	3
511	11	1	5	11	2	19	4	6	22	2	8	2
512	13	1	5	12	2	21	4	6	18	3	7	2
513	10	1	5	9	2	19	5	6	21	2	7	3
514	13	2	6	10	3	22	5	7	21	3	8	3
515	13	1	7	11	2	22	6	5	18	2	7	2
516	13	1	7	11	2	19	6	5	23	3	8	4
517	13	2	8	10	3	22	7	6	20	4	8	4
518	12	2	6	10	2	20	5	6	21	4	7	4
519	14	2	8	9	1	23	6	4	22	5	8	3
520	14	2	9	9	4	20	5	5	21	5	9	3
521	15	2	8	10	3	23	6	6	20	7	8	2
522	16	3	9	8	4	22	6	7	22	7	8	2
523	12	4	11	9	3	19	6	7	29	10	11	3
524	12	4	9	10	5	20	7	7	26	8	8	3
525	14	4	9	9	4	23	7	6	28	8	10	5
526	14	4	11	8	4	24	6	7	27	11	13	3
527	14	6	14	9	6	26	7	7	28	12	10	3
528	16	6	10	11	6	21	7	7	26	15	10	4
529	15	8	13	14	3	23	9	8	29	15	12	4
530	15	7	13	12	6	26	12	9	22	21	14	6
531	14	9	11	9	5	26	9	8	28	21	13	6
532	16	11	13	9	7	26	11	11	25	23	19	5
533	15	11	13	11	7	28	11	12	25	25	17	6
534	16	12	17	10	11	26	11	13	29	28	20	5
535	17	15	18	11	8	28	12	14	28	34	24	6
536	16	19	20	9	12	26	15	19	24	37	28	6
537	18	23	24	12	12	26	15	15	25	44	23	7
538	17	24	22	11	13	23	13	20	26	51	28	9
539	20	28	23	11	16	27	20	20	28	53	31	9
540	19	31	27	14	15	30	15	21	26	59	37	8
541	19	31	28	17	20	26	21	24	25	75	42	10
542	20	37	28	14	20	26	20	26	30	85	43	8
543	23	40	35	12	21	27	23	24	24	93	50	10
544	19	46	36	14	25	27	23	29	25	107	52	11
545	21	48	43	17	23	29	24	38	24	132	46	12
546	24	50	37	16	26	30	30	37	33	145	56	10
547	19	54	41	15	31	30	27	32	32	152	58	14
548	22	62	46	18	35	31	34	43	25	180	60	15
549	25	68	52	17	33	33	33	36	32	198	61	17
550	23	66	50	19	32	32	34	36	29	219	69	16
551	26	71	49	22	33	31	35	43	27	233	65	18
552	24	67	61	25	40	34	41	38	32	265	72	22
553	29	72	55	20	42	32	40	46	33	268	73	20
554	21	78	56	23	45	32	40	42	29	285	72	23
555	28	84	61	26	38	31	46	46	34	297	80	21
556	28	78	67	27	48	36	44	45	30	300	69	28
557	27	77	69	26	47	37	53	44	32	318	85	26
558	30	87	64	30	49	36	43	53	30	324	84	27
559	30	82	70	29	50	34	50	46	27	317	90	31
560	32	81	70	34	47	32	50	47	30	332	82	32
561	29	78	72	33	50	34	52	47	27	310	94	36
562	27	80	68	36	48	38	52	56	31	315	93	41
563	30	84	76	34	56	30	57	51	36	311	89	37
564	32	83	78	36	57	37	58	53	32	300	99	39
565	34	86	75	42	62	36	68	52	30	320	103	44
566	36	86	83	43	63	35	61	54	30	309	97	46
567	34	84	77	45	69	34	62	54	36	297	117	48
568	36	85	87	43	60	36	64	62	35	300	106	52
569	37	85	92	45	75	38	77	57	34	293	115	48
570	38	98	86	49	61	36	74	57	32	316	126	59
571	39	103	96	52	67	36	78	59	30	325	133	57
572	44	98	101	52	79	40	76	59	35	335	133	60
573	40	115	106	49	85	45	80	61	31	334	141	56
574	43	119	103	54	84	41	90	75	37	366	131	67
575	44	129	112	54	92	43	89	66	26	389	140	58
576	42	140	123	60	102	46	92	68	38	404	151	64
577	44	151	133	58	102	36	94	78	36	404	157	72
578	44	154	129	58	105	44	96	78	31	468	164	63
579	49	173	137	57	110	45	105	70	32	495	176	66
580	45	179	152	62	123	45	113	73	31	540	179	75
581	46	191	158	64	121	43	118	79	32	592	179	73
582	52	193	176	61	117	42	121	88	36	624	186	82
583	48	219	182	63	124	44	115	81	33	684	195	78
584	59	229	175	64	140	38	117	79	28	732	185	77
585	56	254	186	64	141	48	133	81	29	769	186	85
586	52	260	197	61	134	44	129	88	34	843	198	85
587	53	268	220	61	147	43	136	74	33	971	188	88
588	58	296	220	67	141	41	129	85	37	1050	194	86
589	52	304	219	70	151	47	141	95	30	1076	198	84
590	57	324	245	67	155	38	140	87	35	1165	192	98
591	54	319	243	68	157	47	148	88	32	1289	183	93
592	54	341	244	71	162	41	147	88	30	1284	186	90
593	51	344	246	65	166	45	144	93	32	1318	188	92
594	59	359	260	68	161	42	145	91	30	1432	175	95
595	56	375	254	68	165	45	160	85	32	1435	190	98
596	58	376	267	64	160	43	149	78	39	1510	184	97
597	61	391	277	71	166	41	157	83	35	1611	169	93
598	58	374	266	65	166	45	144	82	30	1650	175	94
599	63	377	281	69	162	45	152	78	35	1645	163	98
600	61	401	275	65	166	43	161	78	35	1695	161	114
601	60	385	293	69	164	50	165	68	30	1620	152	106
602	66	394	285	72	174	51	154	73	30	1656	151	104
603	58	405	279	71	174	47	154	70	37	1706	149	115
604	66	388	299	69	158	52	155	73	35	1710	154	114
605	70	378	274	68	149	48	155	63	33	1681	149	115
606	65	385	297	67	159	53	155	66	34	1649	138	113
607	70	383	285	74	142	49	145	59	33	1752	141	112
608	63	359	290	70	145	46	149	57	30	1543	129	120
609	71	348	297	71	147	53	157	57	31	1520	115	108
610	70	348	290	71	147	49	145	57	31	1517	119	118
611	70	333	280	75	138	48	148	55	38	1483	124	114
612	67	314	287	68	147	48	138	48	28	1517	105	110
613	69	321	275	71	141	51	148	56	38	1404	98	120
614	75	292	280	70	130	45	148	47	39	1377	94	126
615	68	309	276	75	124	50	136	47	36	1328	102	122
616	71	295	278	72	123	49	131	48	33	1308	92	120
617	71	267	262	67	114	44	124	46	28	1197	99	125
618	74	281	275	75	115	38	145	44	33	1160	91	123
619	70	261	274	70	107	49	136	40	28	1177	92	127
620	71	254	271	70	108	41	123	41	27	1061	77	126
621	70	242	267	67	101	54	134	35	31	1147	85	128
622	70	243	257	66	109	47	130	43	31	1049	80	123
623	70	231	250	76	100	46	126	37	32	1005	73	118
624	75	220	238	74	106	47	117	38	24	994	68	123
625	76	222	265	62	96	51	131	35	35	970	71	123
626	70	212	264	84	99	45	121	29	31	908	76	121
627	71	215	256	75	96	51	120	29	35	862	69	131
628	74	206	261	69	96	48	115	29	34	873	59	126
629	80	185	245	77	82	44	111	28	29	864	66	127
630	75	178	246	72	87	43	113	26	33	817	68	127
631	68	182	233	69	87	51	117	19	35	779	62	132
632	79	181	246	72	79	47	111	28	31	768	54	130
633	77	161	242	63	76	52	110	31	31	746	54	120
634	72	169	255	74	69	55	107	23	31	696	54	128
635	72	157	220	73	72	51	110	26	28	698	53	135
636	84	150	249	69	81	50	102	20	29	633	42	130
637	84	133	237	67	72	50	107	25	25	578	49	128
638	83	136	222	67	75	55	110	21	28	596	43	130
639	77	131	232	59	61	46	99	24	31	587	37	135
640	80	126	220	68	66	42	89	16	32	573	37	125
641	75	113	215	65	64	51	98	20	27	510	41	135
642	84	114	223	71	66	46	109	22	31	523	39	132
643	78	111	227	72	64	43	95	17	35	487	34	134
644	85	104	216	64	56	50	95	21	28	487	36	132
645	78	95	217	70	50	52	90	14	37	480	31	142
646	78	111	209	68	57	50	93	22	35	450	31	135
647	72	90	238	65	54	48	103	14	29	452	26	137
648	81	83	204	68	57	48	88	13	39	399	31	135
649	81	86	217	59	58	45	97	17	28	381	30	141
650	74	83	210	65	50	47	97	14	22	395	28	134
651	80	86	198	67	49	42	79	15	36	372	25	137
652	84	92	206	65	49	45	86	16	37	369	23	129
653	75	76	212	72	58	47	92	16	31	352	22	142
654	80	88	204	73	48	51	88	13	27	359	20	131
655	77	75	202	59	50	39	85	15	33	295	26	132
656	82	80	208	65	42	48	79	11	27	295	21	136
657	86	70	214	68	41	48	85	10	34	328	23	136
658	88	61	189	60	46	44	83	12	38	294	18	133
659	82	58	216	74	41	44	87	11	27	300	16	131
660	77	56	194	66	43	44	85	11	33	298	19	143
661	81	57	223	67	36	45	77	8	26	246	19	130
662	77	57	191	70	40	47	78	13	26	280	25	132
663	83	60	209	63	34	48	84	10	32	267	16	144
664	78	65	199	64	35	46	83	8	28	238	19	135
665	84	45	197	63	39	49	88	13	30	227	19	131
666	80	58	198	60	26	42	78	11	28	225	19	135
667	84	47	191	53	42	37	65	10	27	229	18	134
668	80	46	200	64	35	38	73	11	22	206	21	136
669	82	44	179	62	34	47	66	10	22	211	20	127
670	67	44	196	60	30	37	76	9	19	199	14	126

