Procedure Summary

Plate Type	Costar 96 white opaque
Read	Read:  (F) Emission Spectrum [380nm to 670nm by 1]

Field Group

			
			
			

EM Spectrum

Wavelength	C3	A5	A7	C7	E7	G7	A9	C9	A11	E11
520	388	19	19	12	528	4	6	153	21	9
521	383	17	16	12	516	6	7	161	19	7
522	393	14	20	12	533	5	7	170	21	8
523	410	16	20	9	556	7	7	167	20	7
524	403	19	23	10	544	7	9	169	26	9
525	421	19	22	14	554	6	6	174	24	9
526	424	14	18	13	575	6	9	179	24	8
527	424	19	25	12	568	8	7	174	25	8
528	432	15	19	11	581	7	9	176	32	9
529	418	15	21	13	590	10	8	174	34	9
530	447	20	23	12	595	10	10	176	35	10
531	460	19	23	11	595	7	11	184	39	10
532	446	16	21	18	618	9	9	189	32	8
533	435	18	24	15	611	13	10	180	42	11
534	443	12	20	14	598	9	9	190	41	11
535	458	20	21	15	618	11	12	187	38	12
536	468	16	21	14	632	13	14	197	43	10
537	467	15	21	20	629	14	14	190	46	12
538	478	12	24	15	645	12	13	189	42	10
539	478	17	21	17	661	12	12	195	40	12
540	490	17	21	17	670	14	14	196	47	18
541	504	17	22	14	679	14	15	207	47	13
542	508	21	24	22	683	12	14	211	48	13
543	488	17	24	17	675	15	15	209	46	11
544	507	20	28	16	693	14	15	214	52	15
545	498	14	26	16	690	14	15	210	47	12
546	522	16	26	15	703	16	15	205	49	16
547	513	14	21	17	709	11	14	222	55	13
548	531	15	21	18	692	17	15	219	51	15
549	548	22	26	15	721	14	13	228	45	17
550	535	14	23	15	727	15	15	223	45	12
551	543	14	23	15	751	15	15	214	50	12
552	537	14	24	16	736	13	16	224	52	10
553	541	18	25	14	743	15	17	225	44	14
554	549	15	29	13	742	14	15	235	47	12
555	556	14	29	19	748	16	12	229	55	13
556	540	16	29	13	753	17	14	237	51	13
557	581	16	26	14	753	16	19	230	52	13
558	567	16	30	19	768	17	15	239	43	12
559	581	20	31	18	776	16	15	241	48	14
560	579	17	28	18	773	16	16	242	45	15
561	583	10	22	22	786	20	13	249	42	15
562	596	11	29	18	818	17	15	237	46	11
563	598	17	30	18	797	16	16	239	43	17
564	581	10	25	13	789	18	13	247	39	17
565	576	10	25	14	821	15	13	255	41	16
566	595	14	29	14	796	17	15	247	47	17
567	615	14	26	11	835	17	15	252	42	14
568	608	16	25	14	825	13	16	246	39	10
569	606	14	29	18	836	18	13	245	36	16
570	619	17	26	11	831	13	17	266	33	14
571	607	11	27	19	825	16	14	257	42	15
572	631	14	26	13	861	17	14	262	45	18
573	616	16	28	14	844	16	14	253	42	18
574	630	17	25	15	845	15	20	257	47	13
575	639	16	28	10	893	18	16	251	33	11
576	630	12	32	19	869	19	14	266	41	15
577	638	10	33	17	876	18	17	273	38	12
578	651	9	29	17	882	16	18	264	37	13
579	661	11	39	11	899	14	19	274	40	10
580	645	12	26	17	883	15	18	271	38	14
581	654	14	34	19	899	18	18	284	40	15
582	648	11	29	14	904	19	15	274	31	15
583	673	7	25	19	921	19	17	285	35	12
584	669	10	34	16	908	20	15	264	33	16
585	665	11	27	16	923	17	16	272	36	14
586	673	12	27	11	904	17	18	278	31	16
587	694	11	32	14	934	18	17	278	34	13
588	668	9	27	15	956	16	15	284	35	15
589	679	9	34	16	932	16	17	282	33	13
590	680	7	27	9	948	18	17	281	32	12
591	700	5	31	13	948	21	14	282	31	18
592	698	8	29	10	999	16	16	285	35	12
593	694	11	34	13	938	20	14	292	31	16
594	686	11	33	14	939	15	16	282	34	10
595	714	7	23	18	955	16	15	295	30	14
596	706	8	37	17	939	25	18	289	28	18
597	735	6	27	12	968	19	20	287	31	16
598	720	7	32	15	976	19	16	294	32	14
599	722	4	31	8	968	21	20	293	27	17
600	702	7	32	11	1014	15	17	288	36	17
601	739	8	36	8	986	18	17	306	34	17
602	743	10	28	15	996	15	13	293	26	12
