Procedure Summary

Plate Type	Costar 96 white opaque
Read	Read:  (F) Emission Spectrum [380nm to 670nm by 1]

Field Group

			
			
			

EM Spectrum

Wavelength	A5	A7	A9	A11	C1	C5	C7	C9	E1	E5	E9	E11	G5	G11
482	19	9	9	28	2	9	100	4	3	5	22	2	1	2
483	19	9	11	29	1	8	99	5	4	4	23	3	1	2
484	22	8	12	33	2	8	98	4	4	5	22	3	1	1
485	20	8	10	31	0	8	95	2	3	4	22	2	0	2
486	18	8	9	28	2	7	110	3	2	6	21	2	2	1
487	20	6	12	28	2	10	109	3	2	4	25	2	1	2
488	21	6	11	35	2	7	94	3	1	5	24	2	2	2
489	19	7	11	27	3	7	94	3	3	4	27	2	1	1
490	22	7	8	28	2	9	96	3	2	6	26	2	1	1
491	18	7	12	28	1	8	87	3	2	4	27	2	1	1
492	24	6	10	27	2	7	89	3	4	5	28	4	1	0
493	23	7	10	28	1	8	85	4	1	4	25	2	1	2
494	19	6	10	28	2	7	88	3	1	4	24	3	1	1
495	21	7	9	30	1	8	81	4	2	4	28	1	1	1
496	21	5	12	26	3	8	83	3	2	6	24	2	1	1
497	19	6	9	23	2	7	85	3	2	4	22	3	1	2
498	21	8	10	26	2	9	81	3	2	3	26	2	1	1
499	23	5	10	21	3	8	78	3	2	3	25	3	1	1
500	24	7	10	22	1	8	83	2	3	4	26	2	1	3
501	21	5	11	21	1	8	74	3	2	4	22	3	0	1
502	25	7	9	25	2	9	76	3	3	5	23	2	1	2
503	21	6	10	22	2	8	70	2	2	5	26	2	1	2
504	22	6	10	24	2	9	78	3	2	4	28	3	1	1
505	19	4	13	22	1	7	64	3	2	4	27	1	0	1
506	22	5	11	21	1	9	70	3	1	4	24	2	1	0
507	21	5	10	27	1	8	71	4	3	3	28	2	1	1
508	24	5	11	24	1	9	61	2	2	3	29	2	1	2
509	23	6	10	23	1	8	71	2	2	4	29	1	1	1
510	22	6	12	24	1	8	61	3	2	3	26	2	1	1
511	25	5	9	23	2	8	64	3	3	3	26	3	1	1
512	27	8	10	28	2	8	62	3	2	3	28	1	1	2
513	23	5	13	22	1	8	52	3	3	3	27	2	0	2
514	23	4	13	22	2	9	60	4	3	4	28	2	1	2
515	25	5	11	25	2	9	59	3	2	4	29	2	1	2
516	27	4	11	25	2	10	59	5	3	4	29	3	1	1
517	25	5	13	24	1	9	58	4	4	4	27	2	2	2
518	23	5	10	19	3	10	59	3	2	3	30	4	2	2
519	24	6	10	19	3	10	57	3	2	5	30	3	2	2
520	24	5	12	20	2	9	56	3	3	4	29	3	3	2
521	25	5	13	18	2	11	53	4	3	5	28	2	2	4
522	24	6	14	21	1	10	49	4	4	4	25	4	3	3
523	24	6	14	24	3	10	47	4	5	4	29	5	2	4
524	26	7	12	18	2	11	56	4	4	4	30	4	4	4
525	25	6	13	20	4	9	47	3	5	6	25	5	2	4
526	27	5	14	20	3	10	45	5	6	5	28	7	4	6
527	24	5	14	19	3	11	39	4	6	4	32	9	4	6
528	27	6	15	21	3	11	47	6	7	6	28	7	4	8
529	27	7	12	22	3	11	39	5	7	5	30	6	4	9
530	25	7	15	19	3	9	43	6	8	5	26	9	4	10
531	30	8	14	24	2	12	47	6	12	7	33	10	7	11
532	27	9	14	22	5	10	43	5	13	6	32	11	7	13
533	27	10	15	23	5	11	44	5	14	6	32	13	10	15
534	26	10	16	24	4	10	41	9	12	8	34	14	9	18
535	26	11	13	20	6	15	40	10	19	6	28	14	13	23
536	24	12	14	20	6	11	43	11	19	7	35	19	14	24
537	27	13	16	21	9	15	37	11	22	8	30	20	14	30
538	28	17	16	23	9	12	40	13	23	10	32	25	19	32
539	27	19	18	21	9	14	39	14	27	8	31	28	20	35
540	27	18	18	21	10	15	44	18	28	10	31	29	24	43
541	27	20	20	20	10	15	38	17	31	11	30	32	28	41
542	26	21	17	20	12	16	36	23	35	11	38	35	26	53
543	27	25	17	19	13	15	42	21	46	13	36	39	32	55
544	29	28	21	14	14	14	39	23	45	14	35	43	36	70
545	31	32	20	20	13	15	38	24	57	17	36	48	38	74
546	32	32	20	22	18	18	37	28	56	15	37	56	40	77
547	29	35	19	21	17	15	39	29	55	17	36	54	40	81
548	32	33	20	19	21	20	42	23	59	20	38	55	42	91
549	31	38	18	20	20	17	42	29	70	20	41	66	46	98
550	34	33	22	17	22	19	37	29	71	21	40	74	46	91
551	34	37	20	20	23	20	42	30	74	18	41	70	48	104
552	35	39	24	14	24	22	26	36	85	23	40	83	42	105
553	37	44	24	12	25	21	33	36	85	24	42	73	54	108
554	35	45	27	17	27	21	33	32	90	27	44	81	47	117
555	29	46	25	17	25	24	38	37	95	23	44	80	52	111
556	35	42	25	20	27	22	38	35	102	25	46	85	43	118
557	35	46	26	14	24	25	38	42	94	32	42	76	57	112
558	40	46	28	14	24	28	37	41	108	27	47	80	55	112
559	35	47	27	20	28	25	37	38	115	30	51	95	52	112
560	34	46	27	14	31	30	40	41	117	33	49	84	55	121
561	31	50	31	15	31	28	36	44	122	31	53	89	50	106
562	35	46	29	18	32	30	36	42	130	34	50	91	47	116
563	34	50	29	13	32	27	44	47	137	33	57	82	53	107
564	38	50	32	10	29	33	35	45	149	36	50	88	52	115
565	33	50	33	15	38	33	35	54	154	36	54	91	49	101
566	40	52	31	17	36	37	40	45	175	38	64	92	52	113
567	40	54	33	18	37	32	37	56	178	40	60	94	57	117
568	45	55	32	17	34	34	46	58	200	41	62	96	56	133
569	44	49	31	15	41	38	40	58	218	41	66	98	59	119
570	44	55	31	15	40	35	35	57	230	42	64	104	65	132
571	43	60	36	9	47	40	42	53	244	44	66	100	60	137
572	36	58	35	10	45	41	38	60	286	45	61	109	60	144
573	45	60	38	11	52	41	35	59	282	47	69	113	73	160
574	38	64	35	10	55	41	34	60	312	46	69	112	69	158
575	42	71	38	17	49	42	37	63	339	52	69	130	77	166
576	46	72	44	12	54	47	38	72	359	51	75	126	84	185
577	45	74	42	15	62	44	34	74	378	52	72	136	83	200
578	42	77	46	13	71	45	38	74	411	54	64	140	87	207
579	40	85	40	12	64	44	36	71	432	54	75	140	99	223
580	41	82	40	15	66	46	44	72	469	59	73	161	101	232
581	45	85	37	12	75	55	34	86	504	57	77	163	102	253
582	45	88	43	15	83	48	40	89	503	59	74	169	114	260
583	46	95	40	9	78	48	33	84	529	61	81	187	113	285
584	52	98	41	9	89	53	34	87	585	63	83	192	139	287
585	44	116	43	10	86	48	35	90	576	60	76	194	133	307
586	47	109	49	10	96	54	41	86	583	69	90	204	138	330
587	52	120	45	11	95	56	36	94	583	66	84	219	142	326
588	48	113	47	8	94	54	35	94	616	70	81	218	155	348
589	44	127	48	11	107	57	30	93	627	72	82	223	146	381
590	41	131	45	12	105	57	33	105	628	78	87	237	168	376
591	47	121	50	12	101	59	37	96	641	76	82	254	180	374
592	41	137	47	7	107	59	36	101	622	75	88	256	189	391
593	49	136	52	11	113	57	36	102	678	72	86	252	187	408
594	46	137	49	6	112	57	40	100	617	73	93	252	191	432
595	50	154	48	9	123	57	38	99	650	73	85	260	192	439
596	44	131	51	14	120	53	36	90	628	73	89	267	209	445
597	48	149	52	13	116	65	38	97	599	67	90	277	215	421
598	51	151	54	15	120	60	41	94	591	78	84	278	221	449
599	42	155	50	7	119	66	32	101	596	72	86	285	219	445
600	48	151	53	9	124	61	37	91	579	71	85	284	212	456
601	49	145	57	10	123	64	40	97	586	73	82	275	207	474
602	50	147	51	11	119	55	34	82	528	69	89	268	224	445
603	47	150	50	15	122	65	26	90	527	71	89	288	213	441
604	50	136	53	8	120	64	26	100	522	71	86	268	229	433
605	44	144	58	10	121	70	43	91	530	77	87	272	217	462
606	49	142	59	11	111	69	32	80	513	70	99	260	238	485
607	47	140	53	12	110	65	34	93	500	72	94	282	211	476
608	44	150	58	9	112	67	36	84	506	64	102	253	221	459
609	51	141	60	9	123	72	34	85	465	77	94	264	228	453
610	48	136	57	14	112	74	39	86	465	69	96	256	227	416
611	49	142	63	7	109	69	34	76	441	78	84	258	209	438
612	58	128	55	12	102	74	36	78	403	69	88	252	217	416
613	47	122	56	7	96	70	32	84	418	75	91	225	198	410
614	51	118	57	11	97	70	36	64	375	75	91	215	200	361
615	53	114	64	11	99	65	34	83	376	58	98	212	196	404
616	55	119	53	10	104	64	33	74	355	67	84	200	191	359
617	46	111	53	10	95	73	28	71	353	62	99	202	191	379
618	50	107	57	6	96	69	25	67	339	65	92	204	192	358
619	46	98	60	5	88	69	26	63	305	67	85	184	196	361
620	51	101	64	4	97	74	32	63	311	59	89	178	164	361
621	50	93	59	7	77	69	35	66	298	74	88	179	161	317
622	51	103	58	6	80	66	23	67	295	59	81	182	177	300
623	47	102	64	6	79	68	30	52	279	60	96	184	168	325
624	50	89	62	11	83	73	33	59	271	68	94	167	158	294
625	49	93	62	5	88	68	34	57	260	63	96	161	161	291
626	52	90	64	8	76	76	26	56	250	59	95	166	157	280
627	50	83	65	1	71	72	27	46	249	59	90	147	153	253
628	52	77	64	6	76	80	35	52	242	60	94	151	133	255
629	56	85	64	5	75	83	30	53	231	60	82	142	129	256
630	45	66	64	5	66	77	34	48	240	62	87	132	124	252
631	43	75	68	8	65	74	23	52	215	55	101	136	109	252
632	48	70	63	6	58	79	27	41	199	62	88	115	122	233
633	46	64	60	6	63	77	33	39	198	64	90	129	125	223
634	58	62	68	5	63	79	24	51	197	68	85	126	103	209
635	52	61	67	4	58	70	32	41	187	60	90	129	104	204
636	52	60	59	6	61	74	28	38	173	63	85	118	114	205
637	52	65	69	4	53	79	36	39	154	62	90	109	92	187
638	45	60	64	8	54	79	29	42	166	54	95	112	102	191
639	53	51	63	11	57	82	25	44	161	64	88	103	98	191
640	45	52	68	6	57	78	19	41	146	55	88	105	88	164
641	48	62	70	5	50	68	30	44	144	56	90	99	95	178
642	46	43	63	5	49	80	34	36	145	51	85	104	84	156
643	45	45	69	5	51	76	22	37	140	44	94	94	85	144
644	45	47	64	7	40	80	24	39	144	52	96	91	81	152
645	52	48	64	3	51	85	37	38	125	61	88	89	82	145
646	55	43	72	5	38	72	33	31	120	54	83	75	67	158
647	42	32	61	3	50	78	35	39	105	51	86	80	68	134
648	49	37	63	10	43	78	31	34	114	57	73	80	75	133
649	58	39	66	7	47	83	26	29	110	54	90	74	59	133
650	44	34	61	3	47	82	25	28	113	58	95	74	52	119
651	48	35	63	4	43	90	29	32	112	53	87	71	61	112
652	41	42	54	7	39	82	28	31	97	47	87	72	65	113
653	55	28	68	4	41	82	22	35	97	50	91	73	59	118
654	47	33	63	5	35	76	29	29	89	50	86	71	59	111
655	45	33	63	6	37	81	34	28	92	49	91	58	64	112
656	44	34	63	0	43	87	22	29	87	58	83	65	56	106
657	41	33	74	7	33	90	27	32	98	50	78	56	51	97
658	42	31	64	5	34	74	32	23	90	57	90	62	46	93
659	41	30	62	3	36	81	12	39	74	53	88	56	41	90
660	51	27	69	0	29	82	23	26	81	53	84	49	43	97
661	43	29	67	0	36	82	32	25	73	55	93	52	39	86
662	42	30	69	1	34	80	24	26	78	58	89	51	50	79
663	45	24	64	7	38	84	31	23	57	55	81	43	51	74
664	43	23	65	3	28	85	34	18	74	44	84	46	38	76
665	45	23	68	0	29	75	32	26	69	45	91	45	44	78
666	47	23	65	6	32	78	14	25	60	49	89	42	46	70
667	49	22	73	0	33	91	33	20	53	53	81	48	42	72
668	48	23	67	2	30	73	23	20	53	52	75	43	33	69
669	43	28	70	6	34	88	26	18	58	53	81	36	39	73
670	38	15	57	2	34	85	27	20	59	55	75	33	30	66

